Number of devices,Interaction,Signals,Success rate
1,387.72,586.6,100.0
2,581.54,879.7,100.0
3,775.74,1174.7,99.96726190999999
4,1147.18,2355.9,88.20357140000004
5,1605.38,3970.9,75.82440476999999
6,2077.72,5656.6,66.38095251000003
7,2531.86,7251.3,59.97544639000001
8,3015.52,8993.6,54.01719580000001
9,3454.84,10514.2,50.570238130000014
10,3920.9,12168.5,47.02651519000002
11,4413.98,13957.9,43.403273850000005
12,4903.6,15730.0,40.416666649999996
13,5388.54,17478.7,37.95620740999999
14,5877.88,19249.4,35.73650794999998
15,6376.9,21068.5,33.61421128999999
16,6881.38,22914.9,31.64600834
17,7400.44,24834.2,29.65542327999999
18,7910.48,26708.4,28.01566418
19,8413.46,28547.3,26.644940470000005
