Number of devices,Interaction,Signals,Success rate
1,346.0,378.0,100.0
2,526.08,602.4,99.29563495000006
3,776.86,1180.3,93.3883928899999
4,1055.58,1897.9,88.17976187000004
5,1548.84,3688.2,74.0654762
6,2051.84,5527.2,63.569727840000006
7,2554.84,7366.2,55.69791672
8,3057.84,9205.2,49.575396850000004
9,3560.84,11044.2,44.67738092000001
10,4063.84,12883.2,40.66991341000001
11,4566.84,14722.2,37.33035714999998
12,5069.84,16561.2,34.50457878999999
13,5572.84,18400.2,32.08248286000001
14,6075.84,20239.2,29.983333339999998
15,6578.84,22078.2,28.14657739
16,7081.84,23917.2,26.52591013000001
17,7584.84,25756.2,25.085317449999987
18,8087.84,27595.2,23.796365870000002
19,8590.84,29434.2,22.636309529999995
