Number of devices,Interaction,Signals,Success rate
1,84.0,148.0,100.0
2,131.6,224.08,100.0
3,171.24,271.52,99.98363095
4,1058.32,1456.0,88.26309523
5,2402.08,2985.86,76.08333331999994
6,4178.33,4688.26,66.26105452000003
7,6057.26,6177.82,60.28943457000003
8,8577.91,7995.11,53.777116430000014
9,11007.74,9458.5,50.549404799999984
10,13766.02,10971.09,47.641233830000026
11,17422.4,12930.28,42.985615070000016
12,21161.13,14733.24,40.19780218000001
13,25075.84,16444.22,38.103741400000004
14,29386.66,18228.05,36.12539676999998
15,33997.98,19972.78,34.24404767000001
16,39523.07,22023.03,31.445027980000006
17,45645.32,24275.62,28.902116360000008
18,51558.71,26237.13,27.48903504999997
19,57655.48,28111.4,26.368154730000004
