Number of devices,Interaction,Signals,Success rate
1,38.0,118.0,100.0
2,57.0,177.0,100.0
3,80.9,220.18,99.98214286000001
4,947.03,1394.75,88.29404761000002
5,2271.54,2910.36,76.07539680999996
6,4021.16,4587.08,66.26020417000001
7,5881.64,6062.28,60.26041669999999
8,8378.92,7861.19,53.769841190000015
9,10797.54,9317.7,50.53392861
10,13513.62,10796.0,47.663961130000004
11,17121.92,12714.52,43.02926588
12,20861.09,14534.34,40.21016478000002
13,24786.4,16265.7,38.08460875000002
14,29030.53,17997.65,36.14444447999999
15,33665.3,19766.18,34.22842266000001
16,39133.39,21772.25,31.446778679999998
17,45356.5,24118.34,28.851521140000003
18,51245.07,26052.7,27.447055079999995
19,57477.78,28020.9,26.282738079999998
