Number of devices,Interaction,Signals,Success rate
1,50.0,114.0,100.0
2,75.42,171.21,100.0
3,104.5,210.18,99.98214286000001
4,973.92,1386.0,88.30833335000001
5,2311.9,2911.16,76.05753965999993
6,4070.64,4585.56,66.23214293000002
7,5924.9,6052.9,60.25520834000001
8,8439.5,7883.56,53.77513227000006
9,10879.36,9370.8,50.523214229999994
10,13629.49,10873.42,47.60930733000002
11,17321.0,12858.28,42.89037695999998
12,21031.37,14631.22,40.109890100000015
13,24913.34,16304.56,38.036139369999994
14,29157.19,18016.85,36.107142859999996
15,33758.74,19738.02,34.21763391
16,39313.39,21801.17,31.401960760000012
17,45558.92,24153.22,28.789682530000015
18,51441.66,26085.65,27.39598998999999
19,57541.56,27967.0,26.29196431999999
