Number of devices,Interaction,Signals,Success rate
1,357.72,419.86,100.0
2,533.0,610.0,100.0
3,707.78,788.82,99.97916667
4,1710.76,2091.3,88.28333334999999
5,3200.8,3782.24,76.05952377999995
6,5104.68,5613.93,66.26870759
7,7120.9,7232.18,60.24553569000002
8,9756.56,9166.24,53.82738097000004
9,12340.94,10784.2,50.56607140000001
10,15253.36,12449.97,47.62175327
11,19037.74,14536.46,42.96180556
12,22907.49,16472.21,40.18131868000001
13,26956.26,18322.3,38.09141147000002
14,31362.55,20204.15,36.132936459999996
15,36132.16,22103.36,34.235119080000004
16,41763.72,24261.16,31.44152657999999
17,48042.9,26669.7,28.895171930000007
18,54063.78,28740.55,27.489661619999975
19,60366.78,30816.1,26.35744045000001
