defaultGU,Interaction,Signals,Success rate
2000,2486.54,7700.7,39.259971390000004
2500,2384.18,7188.9,34.123049810000005
3000,2316.52,6850.6,30.16695531
3500,2267.98,6607.9,27.084348840000015
4000,2230.6,6421.0,24.44310031
4500,2202.64,6281.2,22.36925379
