defaultGU,Interaction,Signals,Success rate
5,105144.9,419368.56,99.61626469999999
10,53944.92,214568.64,99.23543592999995
25,23224.97,91688.86,98.11017557000001
50,12985.0,50728.96,96.29043455000001
100,7865.16,30249.6,92.84469236
200,5305.36,20010.38,86.64245224999999
400,4002.77,14753.62,76.41486985000002
800,3214.22,11300.12,61.78411071999999
1600,2613.8,8337.0,44.70462420000002
